semantic_model,name,from_dataset,to_dataset,from_columns,to_columns,ai_context_synonyms,cortex_relationship_type,cortex_join_type
ATTENDANCE,SESSION_TO_SCHOOL,DIM_SESSION,DIM_SCHOOL,K_SCHOOL,K_SCHOOL,,many_to_one,inner
ATTENDANCE,DAILY_ATTENDANCE_TO_CALENDAR,FCT_STUDENT_DAILY_ATTENDANCE,DIM_CALENDAR_DATE,K_CALENDAR_DATE,K_CALENDAR_DATE,,many_to_one,inner
ATTENDANCE,DAILY_ATTENDANCE_TO_SCHOOL,FCT_STUDENT_DAILY_ATTENDANCE,DIM_SCHOOL,K_SCHOOL,K_SCHOOL,,many_to_one,inner
ATTENDANCE,DAILY_ATTENDANCE_TO_STUDENT,FCT_STUDENT_DAILY_ATTENDANCE,DIM_STUDENT,K_STUDENT,K_STUDENT,,many_to_one,inner
ATTENDANCE,ENROLLMENTS_TO_SCHOOL,FCT_STUDENT_SCHOOL_ASSOCIATION,DIM_SCHOOL,K_SCHOOL,K_SCHOOL,,many_to_one,inner
ATTENDANCE,ENROLLMENTS_TO_STUDENTS,FCT_STUDENT_SCHOOL_ASSOCIATION,DIM_STUDENT,K_STUDENT,K_STUDENT,,many_to_one,inner
ATTENDANCE,CUMULATIVE_ATTENDANCE_TO_SCHOOL,MSR_STUDENT_CUMULATIVE_ATTENDANCE,DIM_SCHOOL,K_SCHOOL,K_SCHOOL,,many_to_one,inner
ATTENDANCE,CUMULATIVE_ATTENDANCE_TO_STUDENT,MSR_STUDENT_CUMULATIVE_ATTENDANCE,DIM_STUDENT,K_STUDENT,K_STUDENT,,many_to_one,inner
